,Adrenal.glands,Bile.duct,Bladder,Bone,Brain,Diaphragm,Eyes,Gallbladder,Heart,Kidney,Large.intestine,Larynx,Liver,Lung,Lymph.nodes,Neck.head,Oesophagus,Omentum,Pancreas,Pleura,Retroperitoneum,Skeletal.muscle,Skin,Small.intestine,Spleen,Stomach,Thyroid,Tongue
Adrenal.glands,1,0,0,3,2,1,0,0,0,1,1,0,3,2,7,0,0,0,1,1,0,0,3,0,2,1,1,0
Bile.duct,3,0,0,3,0,0,0,2,0,0,1,0,10,4,17,0,0,0,1,2,5,0,0,0,2,1,0,0
Bladder,21,0,0,91,21,2,0,0,6,10,1,0,64,85,229,0,0,1,3,21,31,2,1,4,5,0,1,0
Bone,4,0,1,15,1,3,0,0,2,2,1,0,6,18,16,0,0,0,3,6,1,0,6,0,1,0,0,0
Brain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diaphragm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eyes,3,0,0,1,1,0,0,1,4,1,0,0,6,4,3,0,0,0,2,2,1,0,2,1,0,0,0,0
Gallbladder,5,0,1,3,0,3,0,1,0,1,2,0,18,9,34,0,0,3,8,2,4,0,2,3,2,1,0,0
Heart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kidney,26,0,2,28,6,4,0,1,10,16,5,0,30,52,80,0,0,1,11,21,9,1,3,4,5,2,2,0
Large.intestine,28,0,41,67,11,25,0,17,29,18,109,0,127,99,512,0,2,117,16,74,59,16,10,12,18,12,3,0
Larynx,2,0,0,4,0,1,0,1,0,2,0,0,5,13,42,0,0,0,0,3,0,0,1,0,0,0,2,0
Liver,7,0,0,3,1,3,0,1,2,0,1,0,0,16,26,0,0,2,4,3,7,0,1,1,0,0,1,0
Lung,188,2,2,90,124,37,0,9,80,66,9,0,122,123,323,4,14,4,39,71,27,2,9,6,33,5,19,0
Lymph.nodes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neck.head,4,0,0,14,3,2,0,1,3,4,1,0,34,30,163,0,0,2,2,7,1,0,2,1,30,0,8,0
Oesophagus,6,0,0,6,0,2,0,0,6,4,1,0,21,19,92,0,0,0,4,8,4,1,2,1,2,2,2,0
Omentum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas,18,1,4,11,0,20,0,8,8,11,4,0,83,40,139,0,1,7,0,25,39,0,3,6,7,4,4,0
Pleura,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retroperitoneum,1,0,2,1,0,1,0,0,0,2,2,0,3,3,7,0,0,2,2,0,2,1,0,1,1,2,1,0
Skeletal.muscle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skin,102,19,2,186,201,8,0,7,176,166,64,17,154,201,579,0,20,2,95,12,103,3,22,88,78,54,69,0
Small.intestine,0,0,0,0,2,1,0,1,0,0,2,0,9,5,10,0,0,1,0,1,5,0,0,1,1,1,0,0
Spleen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stomach,64,4,17,46,3,40,0,37,19,22,12,0,178,104,463,0,4,28,68,42,133,1,11,24,20,1,3,0
Thyroid,4,0,0,6,1,0,0,0,7,1,0,0,10,22,32,0,0,0,3,5,0,0,4,1,0,0,0,0
Tongue,5,0,0,7,0,2,0,0,8,6,0,0,8,19,140,0,0,0,2,8,4,0,2,2,4,0,1,0
